Keywords,Ids,paragraphs
Accepted Deliverables,1,"Accepted Deliverables. Products, results, or capabilities produced by a project and validated by the project customer or sponsors as meeting their specified  acceptance criteria."
Accuracy,5,Accuracy. An assessment of correctness within the  quality management system.
Acquisition,7,Acquisition. Obtaining human and material resources  necessary to perform project activities. Acquisition implies a cost of resources and is not necessarily financial.
Activity,10,"Activity. A distinct, scheduled portion of work performed during the course of a project. "
Activity Cost Estimates,12,"Activity Cost Estimates. The projected cost of the planned activity, which includes the cost of all resources required to execute and complete the activity, including  all cost components and types."
Activity Duration,16,Activity Duration. The time in calendar units between  the start and finish of a schedule activity.
Activity List,18,"Activity List. A documented tabulation of schedule activities that shows the activity description, activity identifier, and a sufficiently detailed scope of work description so project team members understand what work  is to be performed. Actual Cost (AC). The realized cost incurred for the work  performed on an activity during a specific time period."
Agreements,25,"Agreements. Any document or communication that  defines the initial intentions of a project. This can take  the form of a contract, memorandum of understanding (MOU), letters of agreement, verbal agreements,  email, etc."
Alternatives Analysis,30,Alternatives Analysis. A technique used to evaluate identified options in order to select the options or approaches  to use to execute and perform the work of the project.
Alternatives Generation,33,Alternatives Generation. A technique used to develop  as many potential options as possible to identify different approaches to execute and perform the work of  the project. Applying Leads and Lags. A technique used to adjust  the amount of time between predecessor and successor activities.
Assumption,40,"Assumption. A factor in the planning process that is  considered to be true, real, or certain, without proof or  demonstration."
Assumptions Analysis,43,"Assumptions Analysis. A technique that analyzes the  accuracy of assumptions and identifies project risks  caused by the inaccuracy, inconsistency, or incompleteness of assumptions. Basis of Estimates. Supporting documentation outlining the details used in establishing project estimates  such as assumptions, constraints, level of detail, ranges, and confidence levels."
Benchmarking,51,"Benchmarking. The comparison of actual or planned  practices, such as processes and operations, to the  practices of comparable organizations to identify best  practices, generate ideas for improvement, and provide a basis for measuring performance."
Brainstorming,56,"Brainstorming. A general creativity and data collection  technique that can be used to identify risks, ideas, or  solutions to issues through the participation of a group  of team members or experts in the field."
Budget,60,Budget. The approved estimate for the project or any  work breakdown structure component or any schedule  activity. 
Data Date,66,Data Date. A point in time when the status of the project is recorded.
Data Gathering Techniques,68,Data Gathering Techniques. Repeatable processes  used to collect and organize information from a variety of sources.
Deliverable,71,"Deliverable. Any unique and verifiable product, result,  or capability to perform a service that is required to  be produced to complete a process, phase, or project."
Document Analysis,74,Document Analysis. A data gathering technique that  analyzes existing documentation and identifies information relevant to the requirements.
Documentation Reviews,77,Documentation Reviews. The process of gathering a  corpus of information and reviewing it to determine  accuracy and completeness.
Change Request,80,"Change Request. A formal proposal to modify a document, deliverable, or baseline."
Constraint,82,"Constraint. A limiting factor that affects the execution  of a project, program, portfolio, or process."
Contingency,84,Contingency. An event or occurrence that could affect  the execution of the project that may be accounted  for with a reserve.
Contingency Reserve,87,Contingency Reserve. The budget allocated in the  cost or performance measurement baseline for identified risks that are accepted and for which contingent  or mitigation responses are developed. 
Contract,91,"Contract. A mutually binding agreement for the parties that obligates the seller to provide the specified  product, service, or result and obligates the buyer to  pay for it."
Control Limits,95,"Control Limits. The area composed of three standard  deviations on either side of the centerline or mean of a  normal distribution of data plotted on a control chart,  which reflects the expected variation in the data."
Corrective Action,99,Corrective Action. An intentional activity that realigns  the performance of the project work with the project  management plan. Cost-Benefit Analysis. A financial analysis tool used to  determine the benefits provided by a project against  its costs.  Cost Performance Index (CPI). A measure of the cost  efficiency of budgeted resources expressed as the ratio of earned value to actual cost.
Criteria,108,"Criteria. Standards, rules, or tests on which a judgment  or decision can be based or by which a product, service, result, or process can be evaluated."
Critical Path,111,"Critical Path. The sequence of activities that represents the longest path through a project, which determines the shortest possible duration."
Earned Value Management,114,"Earned Value Management. A methodology that combines scope, schedule, and resource measurements to  assess project performance and progress."
Enterprise Environmental Factors,117,"Enterprise Environmental Factors. Conditions, not under the immediate control of the team, that influence,  constrain, or direct the project, program, or portfolio."
