processed_paragraphs,summarized_paragraphs
" The purpose of the  Practice Standard for Project Risk Management  is to  provide a standard for project  management practitioners and other stakeholders that de nes the aspects of Project Risk Management that  are recognized as good practice on most projects most of the time and  provide a standard that is globally  applicable and consistently applied. This practice standard has a descriptive purpose rather than one used for  training or educational purposes.   The  Practice Standard for Project Risk Management  covers risk management as it is applied to single  projects only. Like the  PMBOK    Guide   Fourth Edition, this practice standard does not cover risk in programs  or portfolios of projects.   Chapter 11 of the  PMBOK    Guide   Fourth Edition, is the basis for the  Practice Standard for Project Risk  Management . This practice standard is consistent with that chapter, emphasizing the concepts and principles  relating to Project Risk Management. It is aligned with other PMI practice standards.   Figure 11 compares the purposes of this practice standard to those of the  PMBOK    Guide   Fourth Edition  and textbooks, handbooks, and courses.   Figure 11. Hierarchy of PMI Project Risk Management Resources  3 2009 Project Management Institute. Practice Standard for Project Risk Management 1 CHAPTER 1  INTRODUCTION  This practice standard is organized in three main sections:   1.  Introductory material including the framework, purpose, principles, context of, and introduction to  Project Risk Management processes as de ned in the  PMBOK    Guide  Fourth Edition.   2.  Principles underlying the six Project Risk Management processes in the  PMBOK     Guide   Fourth  Edition. The six processes are as follows:   Plan Risk Management,     Identify Risks,     Perform Qualitative Risk Analysis,     Perform Quantitative Risk Analysis,     Plan Risk Responses, and     Monitor and Control Risks.     Each of these six processes is described in a chapter that addresses the following four topics:   purpose and objectives of the process;  critical success factors for the process;  tools and  techniques for the process; and  documenting the results of the process.   3. A glossary of terms which are used in this practice standard.   This practice standard emphasizes those principles that are fundamental to effective, comprehensive,  and successful Project Risk Management. These principles can and should be stated at a general level for  several reasons:   1.  Principles are expected to be agreed upon now and to be valid in the future. While tools and  techniques are constantly evolving, the principles have more stability and persistence.   2.  Different projects, organizations, and situations will require different approaches to Project Risk  Management. In particular, risk management is a discipline that contains a series of processes to  apply to both large and small projects. Risk management will be more effective if its practice is  tailored to the project and congruent with the organizational culture, processes and assets. There  are many different ways of conducting risk management that may comply with the principles of  Project Risk Management as presented in this practice standard.   3.  The principles are applicable to projects carried out in a global context, re ecting the many  business and organizational arrangements between participants, for example, joint ventures  between commercial and national companies, government and nongovernment organizations,  and the crosscultural environment often found on these project teams.   The principles described herein can be used as a check for an organizations processes. Practitioners can  establish processes speci c to their particular situation, project, or organization and then compare them with  these principles, thus validating them against good Project Risk Management practice.  4 2009 Project Management Institute. Practice Standard for Project Risk Management 1 CHAPTER 1  INTRODUCTION","practice standard for Project Risk Management covers risk management as it is applied to single projects only. this practice standard is consistent with that chapter, emphasizing the concepts and principles relating to Project Risk Management. it is aligned with other PMI practice standards."
" The de nition of Project Risk Management, as de ned in the  PMBOK    Guide   Fourth Edition, is the basis  for this practice standard: Project Risk Management includes the processes concerned with conducting  risk management planning, identi cation, analysis, responses, and monitoring and control on a project. The   PMBOK    Guide   Fourth Edition also states: The objectives of Project Risk Management are to increase the  probability and impact of positive events, and decrease the probability and impact of negative events in the  project. In the  PMBOK    Guide   Fourth Edition, project risk is an uncertain event or condition that, if it occurs,  has a positive or negative effect on a projects objectives. Project objectives include scope, schedule, cost,  and quality.   Project Risk Management aims to identify and prioritize risks in advance of their occurrence, and provide  actionoriented information to project managers. This orientation requires consideration of events that may  or may not occur and are therefore described in terms of likelihood or probability of occurrence in addition to  other dimensions such as their impact on objectives. ","project risk is an uncertain event or condition that, if it occurs, has a positive or negative effect on a projects objectives. project risk is an uncertain event or condition that, if it occurs, has a positive or negative effect on a projects objectives."
" Project Risk Management is not an optional activity: it is essential to successful project management.  It should be applied to all projects and hence be included in project plans and operational documents. In  this way, it becomes an integral part of every aspect of managing the project, in every phase and in every  process group.   Many of the project management processes address planning the project, from concept to  nal design  and from procurement through daily management of execution and closeout. These processes often  assume an unrealistic degree of certainty about the project and, therefore, they need to include treatment of  project risks.   Project Risk Management addresses the uncertainty in project estimates and assumptions. Therefore, it  builds upon and extends other project management processes. For instance, project scheduling provides dates  and critical paths based on activity durations and resource availability assumed to be known with certainty.  Quantitative risk analysis explores the uncertainty in the estimated durations and may provide alternative dates  and critical paths that are more realistic given the risks to the project.   Project Risk Management is not a substitute for the other project management processes. On the contrary,  Project Risk Management requires that these project management processes  be performed at the level of the best practices available. Project Risk Management adds  the perspective of project risk to the outputs of those other processes and adds to their value by taking risk  into account. For instance, risk management provides the basis upon which to estimate the amount of cost and  schedule contingency reserves that are needed to cover risk response actions to a required level of con dence  for meeting project objectives.  5 2009 Project Management Institute. Practice Standard for Project Risk Management 1 CHAPTER 1  INTRODUCTION  There is a paradox about project risk that affects most projects. In the early stages of a project, the level of  risk exposure is at its maximum but information on the project risks is at a minimum. This situation does not  mean that a project should not go forward because little is known at that time. Rather, there may be different  ways of approaching the project that have different risk implications. The more this situation is recognized, the  more realistic the project plans and expectations of results will be.   A risk management approach is applicable throughout a projects life cycle. The earlier in the project life  cycle that the risks are recognized, the more realistic the project plans and expectations of results will be. Risk  management continues to add value as project planning progresses and more information becomes available  about all aspects and components of the project and its environment, such as stakeholders, scope, time, and  cost, as well as the corresponding assumptions and constraints. The balance between project  exibility and  knowledge about project risk needs to be reviewed regularly and optimized as the plans develop.   It is true that as the project plan becomes set with fundamental decisions, agreements, and contracts in  place, the options for making substantial changes to capture opportunities or mitigate threats are reduced.  During project execution, risk management processes monitor the changes the project undergoes for new  risks that may emerge so that appropriate responses to them can be developed, as well as check for existing  risks that are no longer plausible. Project Risk Management plays a role in providing realistic expectations for  the completion dates and cost of the project even if there are few options for changing the future.   Finally, throughout the project and during project closure, riskrelated lessons are reviewed in order to  contribute to organizational learning and support continuous improvement of Project Risk Management  practice. ",Project Risk Management is not an optional activity: it is essential to successful project management. it should be applied to all projects and therefore be included in project plans and operational documents. risk management continues to add value as project planning progresses.
" Project Risk Management is a valuable component of project management and it enhances the value of  the other project management processes. As with all of these processes, Project Risk Management should be  conducted in a manner consistent with existing organizational practices and policies. In addition, like the other  processes involved in project management, Project Risk Management should be conducted in a way that is  appropriate to the project. Project Risk Management should recognize the business challenges as well as the  multicultural environment associated with an increasingly global environment including many joint venture  projects and customers, suppliers, and workforces spread around the globe.   Changes in the project management plan that result from the Project Risk Management process may  require decisions at the appropriate level of management to reassign personnel, establish or modify budgets,  make commitments to others outside the project, interact with regulators, and comply with the rules of  accounting and law. Project Risk Management should be conducted in compliance with these internal and  external requirements.  6 2009 Project Management Institute. Practice Standard for Project Risk Management 1 CHAPTER 1  INTRODUCTION  Project Risk Management should always be conducted on an ethical basis, in keeping with the Project  Management code of ethics or conduct. Honesty, responsibility, realism, professionalism and fair dealing  with others are among the characteristics of successful Project Risk Management. Effective Project Risk  Management bene ts from robust communication and consultation with stakeholders. This enables agreement  among stakeholders that Project Risk Management in general, and risk identi cation, analysis, and response,  in particular, should be carried out in a realistic and objective way and should not be subject to political or other  unreasonable in uences.   Project Risk Management should be conducted on all projects. The degree, level of detail, sophistication of  tools, and amount of time and resources applied to Project Risk Management should be in proportion to the  characteristics of the project under management and the value that they can add to the outcome. Thus, a large  project that provides value to an important customer would theoretically require more resources, time, and  attention to Project Risk Management than would a smaller, shortterm, internal project that can be conducted  in the background with a  exible deadline.   Each of the Project Risk Management processes should be scaled to be appropriate to the project under  management during the Plan Risk Management process and reviewed periodically to determine if the decisions  made in that process remain appropriate. ","Project Risk Management should be conducted in a way that is appropriate to the project. a large project that provides value to an important customer would theoretically require more resources, time, and attention to Project Risk Management than would a smaller, internal project."
" Figure 12. Critical Success Factors for Project Risk Management  7 2009 Project Management Institute. Practice Standard for Project Risk Management 1 CHAPTER 1  INTRODUCTION  Speci c criteria for success of each Project Risk Management process are listed in the chapters dealing  with those processes. The general criteria for success include:     Recognize the Value of Risk Management     Project Risk Management should be recognized  as a valuable discipline that provides a positive potential return on investment for organizational  management, project stakeholders , project management, and team  members.     Individual CommitmentResponsibility     Project participants and stakeholders should all accept  responsibility for undertaking riskrelated activities as required. Risk management is everybodys  responsibility.     Open and Honest Communication     Everyone should be involved in the Project Risk Management  process.  Any actions or attitudes that hinder communication about project risk reduce the effectiveness  of Project Risk Management in terms of proactive approaches and effective decisionmaking.     Organizational Commitment     Organizational commitment can only be established if risk  management is aligned with the organizations goals and values. Project Risk Management may  require a higher level of managerial support than other project management disciplines because  handling some of the risks will require approval of or responses from others at levels above the  project manager.     Risk Effort Scaled to Project     Project Risk Management activities should be consistent with the value  of the project to the organization and with its level of project risk, its scale, and other organizational  constraints. In particular, the cost of Project Risk Management should be appropriate to its potential  value to the project and the organization.     Integration with Project Management    Project Risk Management does not exist in a vacuum,  isolated from other project management processes. Successful Project Risk Management requires  the correct execution of the other project management processes.   These critical success factors for Project Risk Management are illustrated in Figure 12. ",Speci c criteria for success of each Project Risk Management process are listed in the chapters dealing with those processes. Recognize the Value of Risk Management Project Risk Management should be recognized as a valuable discipline that provides a positive potential return on investment for organizational management.
 The principles of Project Risk Management described in this practice standard should be appropriately  applied based on the speci cs of a project and the organizational environment. Project Risk Management  provides bene ts when it is implemented according to good practice principles and with organizational  commitment to taking the decisions and performing actions in an open and unbiased manner.  9 2009 Project Management Institute. Practice Standard for Project Risk Management 2  CHAPTER 2   PRINCIPLES AND CONCEPTS ,Project Risk Management provides bene ts when it is implemented according to good practice principles and with organizational commitment to taking the decisions and performing actions in an open and impartial manner.
 This chapter introduces the key ideas required to understand and apply Project Risk Management to projects  following the approach described in Chapter 11 of the  PMBOK    Guide   Fourth Edition. These principles and  concepts are generally consistent with other approaches to Project Risk Management commonly used although  the terminology may differ in some details.   The execution of the Project Risk Management process is dealt with in subsequent chapters of this practice  standard and so is not discussed here. ,this chapter introduces the key ideas required to understand and apply Project Risk Management to projects following the approach described in Chapter 11 of the PMBOK Guide Fourth Edition. these principles and concepts are generally consistent with other approaches to Project Risk Management commonly used although the terminology may differ in some details.
" The word risk is used in many ways in everyday language and in various specialist disciplines. Its use  in the  PMBOK    Guide   Fourth Edition is consistent with other risk management standards and process  descriptions. The de nition of project risk given in the  PMBOK    Guide  Fourth Edition is as follows:    Project risk is an uncertain event or condition that, if it occurs, has a positive or a negative  effect on a projects objectives.   This de nition includes two key dimensions of risk: uncertainty and effect on a projects objectives. When  assessing the importance of a project risk, these two dimensions must both be considered. The uncertainty  dimension may be described using the term probability and the effect may be called impact .   The de nition of risk includes both distinct events which are uncertain but can be clearly described, and  more general conditions which are less speci c but also may give risk to uncertainty.   The de nition of project  risk also encompasses uncertain events which could have a negative effect on a projects objectives, as  well as those which could have a positive effect. These two types of risk are called, respectively, threats and  opportunities. It is important to address both threats and opportunities within a uni ed Project Risk Management  process. This allows for the gain of synergies and ef ciencies such as addressing both in the same analyses  and coordinating the responses to both if they overlap or can reinforce each other.  10 2009 Project Management Institute. Practice Standard for Project Risk Management 2 CHAPTER 2  PRINCIPLES AND CONCEPTS  Risks are uncertain future events or conditions which may or may not occur, but which would matter if they  did occur. It is important to distinguish risks from riskrelated features, such as cause and effect. Causes are  events or circumstances which currently exist or are certain to exist in the future and which might give rise  to risks. Effects are conditional future events or conditions which would directly affect one or more project  objectives if the associated risk occurs. The causeriskeffect chain can be used in a structured risk statement  or risk description to ensure that each of these three elements is properly described .   When a risk event occurs, it ceases to become uncertain. Threats which occur may be called issues or  problems; opportunities which occur may be called bene ts. Both issuesproblems and bene ts entail project  management actions that are outside the scope of the Project Risk Management process. ","project risk is an uncertain event or condition that, if it occurs, has a positive or a negative effect on a projects objectives. the de nition of project risk includes both distinct events which are uncertain but can be clearly described. the de nition of project risk also encompasses uncertain events which could have a negative effect on a projects objectives."
" It is useful to consider project risk at two levels: individual risks and overall project risk.   Individual risks are speci c events or conditions that might affect project objectives. An individual risk  may positively or negatively affect one or more of the project objectives, elements, or tasks. Understanding  individual risks can assist in determining how to apply effort and resources to enhance the chances of project  success. Daytoday Project Risk Management focuses on these individual risks in order to enhance the  prospects of a successful project outcome.   Overall project risk represents the effect of uncertainty on the project as a whole. Overall project risk is  more than the sum of individual risks on a project, since it applies to the whole project rather than to individual  elements or tasks. It represents the exposure of stakeholders to the implications of variations in project  outcome. It is an important component of strategic decisionmaking, program and portfolio management,  and project governance where investments are sanctioned or cancelled and priorities are set. At these higher  levels, it is necessary to set realistic targets for the cost and duration of a project, establish the contingency  reserve levels required to protect the project stakeholders, set appropriate project priorities, and judge whether  the risk of overall success is increasing or decreasing as implementation advances. ","individual risks are speci c events or conditions that might affect project objectives. an individual risk may positively or negatively affect one or more of the project objectives, elements, or tasks. overall project risk represents the effect of uncertainty on the project as a whole."
" The risk attitudes of the project stakeholders determine the extent to which an individual risk or overall  project risk matters. A wide range of factors in uence risk attitude. These include the scale of the project  within the range of stakeholders overall activities, the strength of public commitments made about the  performance of the project, and the stakeholders sensitivity to issues such as environmental impacts,  industrial relations, and other factors. Stakeholder risk attitudes usually result in a desire for increased  certainty in project outcomes, and may express a preference for one project objective over another. How risk  is regarded is usually also strongly in uenced by an organizations culture. Different organizations are more  or less open, and this often impacts the way risk management can be applied.  11 2009 Project Management Institute. Practice Standard for Project Risk Management 2 CHAPTER 2  PRINCIPLES AND CONCEPTS  Understanding stakeholders attitudes toward risk is an important component of risk management planning  that precedes risk identi cation and analysis, in order to optimize both project success and stakeholder  satisfaction with the projects results. These attitudes should be identi ed and managed proactively and  deliberately throughout the Project Risk Management process. They may differ from one project to another  for the same stakeholders and will usually differ from one group of stakeholders to another. In fact a single  stakeholder may adopt different risk attitudes at various stages in the same project.   It is also important to understand the particular implications of stakeholder risk attitudes on projects where  the team is international, crossindustry, or multiorganizational. ","the risk attitudes of the project stakeholders determine the extent to which an individual risk or overall project risk matters. these include the scale of the project within the range of stakeholders overall activities, the strength of public commitments made about the performance of the project. a single stakeholder may adopt different risk attitudes at various stages in the same project."
